169,X-114,7,Widmer Brothers Brewing Company
172,American Bitter Ale,7,Widmer Brothers Brewing Company
175,Blonde Ale,7,Widmer Brothers Brewing Company
176,Bourbon Bock,7,Widmer Brothers Brewing Company
184,Halo,7,Widmer Brothers Brewing Company
188,Milk Stout,7,Widmer Brothers Brewing Company
192,O'Casey's Irish Stout,7,Widmer Brothers Brewing Company
196,Snowplow Milk Stout,7,Widmer Brothers Brewing Company
198,Spring Run IPA,7,Widmer Brothers Brewing Company
199,Springfest,7,Widmer Brothers Brewing Company
206,W'08 Crimson Wheat,7,Widmer Brothers Brewing Company
207,W'09 Belgian Style Ale,7,Widmer Brothers Brewing Company
211,Mackeson Stout,8,Whitbread PLC
217,Flower's IPA,8,Whitbread PLC
218,Mackeson Triple XXX Stout,8,Whitbread PLC
226,Hartington IPA,9,Whim Ales
232,Black Sow Stout,10,North East Brewing Company
238,Lobsterback IPA,10,North East Brewing Company
255,Anniversary IPA,4929,John Harvard's Brew House
260,Bad News Brown,4929,John Harvard's Brew House
267,Belgian Witbier,4929,John Harvard's Brew House
268,Big Tex IPA,4929,John Harvard's Brew House
275,Chewbacca IPA,4929,John Harvard's Brew House
278,Demon DPA,4929,John Harvard's Brew House
279,Double O Stout,4929,John Harvard's Brew House
281,Dry Irish Stout,4929,John Harvard's Brew House
286,Espresso Cream Stout,4929,John Harvard's Brew House
287,Espresso Stout,4929,John Harvard's Brew House
288,Flanders Flemish Stout,4929,John Harvard's Brew House
289,Foo Fighter IPA,4929,John Harvard's Brew House
292,G.P.S. IPA,4929,John Harvard's Brew House
294,Half-Way Stout,4929,John Harvard's Brew House
296,Harvard Square Helles,4929,John Harvard's Brew House
297,Harvest Spice Ale,4929,John Harvard's Brew House
301,Honey Brown,4929,John Harvard's Brew House
302,Hop Chronic IPA,4929,John Harvard's Brew House
307,India Pale Ale (IPA),4929,John Harvard's Brew House
308,Irish Dry Stout,4929,John Harvard's Brew House
310,Irish Stout,4929,John Harvard's Brew House
314,Kirley Q's IPA,4929,John Harvard's Brew House
331,Oktoberfest,4929,John Harvard's Brew House
342,Pumpkin Spice Ale,4929,John Harvard's Brew House
449,Cherry Wheat,4929,John Harvard's Brew House
450,Chocolate Milk Stout,4929,John Harvard's Brew House
451,Chocolate Stout,4929,John Harvard's Brew House
492,Freedom Stout,4929,John Harvard's Brew House
572,Saison Du Jean,4929,John Harvard's Brew House
588,Sucker-Punch IPA,4929,John Harvard's Brew House
619,American Pale Ale,12,Commonwealth Fish & Beer Company
624,Brown Ale,12,Commonwealth Fish & Beer Company
640,Biere De Gourde,13,Cambridge Brewing Company
642,Big Man Ale,13,Cambridge Brewing Company
644,Black Magic,13,Cambridge Brewing Company
649,Cambridge Amber,13,Cambridge Brewing Company
650,Cerise Cassée American Sour Ale,13,Cambridge Brewing Company
657,Great Pumpkin Ale,13,Cambridge Brewing Company
658,Hefeweizen,13,Cambridge Brewing Company
671,Red God IPA,13,Cambridge Brewing Company
674,Sgt. Pepper,13,Cambridge Brewing Company
680,Tall Tale Pale Ale,13,Cambridge Brewing Company
684,Tripel Threat,13,Cambridge Brewing Company
685,Weekapaug Gruit Ale,13,Cambridge Brewing Company
688,80 Schilling Scottish Ale,13,Cambridge Brewing Company
709,Endless Summer IPA,13,Cambridge Brewing Company
719,Kriek,13,Cambridge Brewing Company
727,Saison Noire,13,Cambridge Brewing Company
730,Spinal Pumpkin,13,Cambridge Brewing Company
1549,Beantown Nut Brown Ale,16,Beer Works - Fenway
1558,Boston Red,16,Beer Works - Fenway
1562,Bunker Hill Blueberry Ale,16,Beer Works - Fenway
1564,Curley's Irish Stout,16,Beer Works - Fenway
1575,Haymarket Hefe-Weizen,16,Beer Works - Fenway
1580,Imperial Stout,16,Beer Works - Fenway
1583,May Bock,16,Beer Works - Fenway
1586,Muddy River Porter,16,Beer Works - Fenway
1587,Oktoberfest Lager,16,Beer Works - Fenway
1590,Pumpkinhead Ale,16,Beer Works - Fenway
1594,Tell Tale Lager,16,Beer Works - Fenway
1600,Watermelon Ale,16,Beer Works - Fenway
1651,Millar Light,16,Beer Works - Fenway
1666,Summer Works Ale,16,Beer Works - Fenway
1700,Green Monsta Ale,18,"Wachusett Brewing Company, Inc."
1701,Quinn's Amber Ale,18,"Wachusett Brewing Company, Inc."
1703,Wachusett Black Shack Porter,18,"Wachusett Brewing Company, Inc."
1704,Wachusett Blueberry Ale,18,"Wachusett Brewing Company, Inc."
1705,Wachusett California Style IPA,18,"Wachusett Brewing Company, Inc."
1706,Wachusett Country Ale,18,"Wachusett Brewing Company, Inc."
1707,Wachusett IPA (India Pale Ale),18,"Wachusett Brewing Company, Inc."
1708,Wachusett Larry,18,"Wachusett Brewing Company, Inc."
1709,Wachusett Milk Stout,18,"Wachusett Brewing Company, Inc."
1711,Wachusett Octoberfest Ale,18,"Wachusett Brewing Company, Inc."
1713,Wachusett Summer,18,"Wachusett Brewing Company, Inc."
1714,Wachusett Winter Ale,18,"Wachusett Brewing Company, Inc."
1716,Peter's Brand Pilsner Beer,19,Union Export Brewery
1717,Blanche De Chambly,20,Unibroue
1718,Blonde De Chambly,20,Unibroue
1719,Don de Dieu,20,Unibroue
1720,Eau Benite,20,Unibroue
1721,Éphémère (Apple),20,Unibroue
1722,Éphémère (Cassis / Black Currant),20,Unibroue
1723,Éphemère (Framboise),20,Unibroue
1725,La Fin Du Monde,20,Unibroue
1726,La Terrible,20,Unibroue
1727,Maudite,20,Unibroue
1728,Noire De Chambly / Chambly Noire,20,Unibroue
1729,Quelque Chose,20,Unibroue
1730,Raftman,20,Unibroue
1731,Trois Pistoles,20,Unibroue
1732,U Blond Pilsner,20,Unibroue
1733,U Miel Pilsner,20,Unibroue
1734,U Rousse,20,Unibroue
1740,Éphémère (Cranberry),20,Unibroue
1741,Éphémère (Original),20,Unibroue
1747,La Gaillarde,20,Unibroue
1748,La Seigneuriale,20,Unibroue
1750,Quatre-Centième Brassin Commémoratif,20,Unibroue
1753,Unibroue 10,20,Unibroue
1754,Unibroue 11,20,Unibroue
1756,Unibroue 16,20,Unibroue
1757,Unibroue 17,20,Unibroue
1758,Big Shot Espresso Stout (Timberline Series),21,Twisted Pine Brewing Company
1759,Billy's Chilies Beer (Timberline Series),21,Twisted Pine Brewing Company
1765,Twisted Pine Amber Ale,21,Twisted Pine Brewing Company
1769,Twisted Pine Honey Brown Ale,21,Twisted Pine Brewing Company
1770,Twisted Pine Hoppy Boy,21,Twisted Pine Brewing Company
1773,Twisted Pine Le Petite Saison,21,Twisted Pine Brewing Company
