99,1492 IPA,3864,Toppling Goliath Brewing Company
100,15 Anniversary,1590,Flossmoor Station Brewing Company
101,1554 Enlightened Black Ale,2738,New Belgium Brewing
102,15th  Anniversary,1397,Dunedin Brewery
103,15th Anniversary Ale,3185,Real Ale Brewing Company
104,15th Anniversary Wood Aged Double IPA,1790,Great Divide Brewing Company
105,1623 Settlement Brown Ale,49,7th Settlement Brewery
106,1634 Ale,828,Brewer's Alley Restaurant & Brewery
107,1634 Urtyp Hell,2971,Paulaner
108,1664,667,Brasseries Kronenbourg
109,16th Anniversary Ale,3185,Real Ale Brewing Company
110,16th Avenue Pilsner,442,Big River Grille & Brewing Works
111,17 Anniversary,3189,Red Brick Brewing Company
112,1757 Amber Lager,4020,Vintage 50 Restaurant and Brew Lounge
113,1784 Anniversary Beer,4031,vyturio Alaus Darykla
114,1798 Revolution,1389,Dublin Brewing
115,18-Watt IPA,3488,Singlecut Beersmiths
116,1803 Fat Ox Ale,1257,"Custom Brewcrafters, Inc."
117,1809,1354,Doemens e.V.
118,1812 Amber Ale,3336,Sackets Harbor Brewing Company
119,1812 Light,3336,Sackets Harbor Brewing Company
120,1814 ESB,1120,Chocolate City Beer
121,1819,4196,Yellowhammer Brewery
122,1825 Ale,1808,Greenbush Brewing Co
123,1837,3965,Unibroue
124,1845 Celebration Ale,1669,"Fuller, Smith & Turner PBC"
125,1847 Rye Stout,2344,Lavery Brewing Company
126,1854,2988,Pensacola Bay Brewery
127,1855 Pale Ale,1367,Double Horn Brewing Company
128,"186,000 MPS Malt Liquor",2398,Listermann Brewing Company
129,1887,89,Acorn Brewery of Barnsley
130,1887 Red,89,Acorn Brewery of Barnsley
131,1888 Bock,2135,Jacob Leinenkugel Brewing Company
132,1890 I.P.A.,1645,Freedom's Edge Brewing
133,18th Anniversary Wood Aged Double IPA,1790,Great Divide Brewing Company
134,18th Star Biere De Garde,81,Abita Brewing Company
135,19 Original Colonies,3289,Rogue Ales
136,1900 Amber Lager,1608,Fort Collins Brewery
137,1901 Red Ale,568,Bold City Brewery
138,1908,4150,Witch's Hat Brewing Company
139,1916 Irish Stout,1428,Egan Brewing
140,1916 Irish Stout,1761,Gottberg Brew Pub
141,1945,491,Black Market Brewing Company
142,1956 Golden Ale,587,Bootstrap Brewing Company
143,1997,4108,White Oak Cider
144,1st Amendment Lager,4055,Wasatch Brewpub
145,1st Amendment Lager,3987,Utah Brewers Cooperative
146,1st Anniversary Ale,4104,White Birch Brewing
147,1st Noel,89,Acorn Brewery of Barnsley
148,2 Anniversary Ale,4104,White Birch Brewing
149,2 Brothers,1763,Govnor's Public House
150,2 Turtle Doves,3755,The Bruery
151,2 wheel Death Machine,108,Against The Grain Brewery
152,2 x 4,3474,Sierra Nevada Brewing Company
153,2-pt IPA,433,Big E Ales
154,"20"" Brown",1052,Cascade Lakes Brewing Company
155,2004 Symposium Ale,3639,Stone Brewing Company
156,2009 Farmhouse Rye,2345,Lawson's Finest Liquids
157,2009 Holiday Ale,4104,White Birch Brewing
158,2009 Maple Tripple,2345,Lawson's Finest Liquids
159,2009 Pere Jacques,1757,Goose Island Beer Company
160,2010 Blunderbuss Barleywine,1016,Cambridge Brewing Company
161,2010 Holiday Ale,4104,White Birch Brewing
162,2010 Old Guardian,3639,Stone Brewing Company
163,2011 Barleywine,3433,Sebago Brewing Company
